alpha,cv_mse,std_test_score
0.0001,0.5220345183655832,0.8901082653708252
0.00014563484775012445,0.4798778000503507,0.8085234517251337
0.00021209508879201905,0.43003180340176195,0.7123826715663891
0.00030888435964774815,0.3745999359251405,0.6059535479848224
0.0004498432668969444,0.3169957465809633,0.4960050992745791
0.0006551285568595509,0.2611706997868678,0.39023036879451706
0.0009540954763499944,0.21060391997744915,0.2952555125658613
0.0013894954943731374,0.1675987850795928,0.21534088341261712
0.0020235896477251557,0.1330981727250505,0.15215279061717768
0.0029470517025518097,0.10683360617049195,0.1051492005211053
0.004291934260128779,0.08761677147513472,0.07213913310908565
0.0062505519252739694,0.0737459262343961,0.04998677442810619
0.009102981779915217,0.06348311235892931,0.03546148753244558
0.013257113655901081,0.05545355284355104,0.02599282418421646
0.019306977288832496,0.048835927889615535,0.020006625526228897
0.02811768697974228,0.04332149651873839,0.016736209109038842
0.040949150623804234,0.03891410697913467,0.015774986268994477
0.05963623316594643,0.035695170772265715,0.016682794247276193
0.08685113737513521,0.0336687750622289,0.018696556167073823
0.12648552168552957,0.03271901706043978,0.02081220142120304
0.18420699693267145,0.03263179702041781,0.022249876829806663
0.2682695795279725,0.03313591609531677,0.022774632645299876
0.3906939937054613,0.03395438028493646,0.022613503764389257
0.5689866029018293,0.03485546436410497,0.02212735361798591
0.8286427728546842,0.035681267881533876,0.021542627553507346
1.2067926406393288,0.03634814886489225,0.02091640981669248
1.7575106248547894,0.03683417433406211,0.020250697397856697
2.559547922699533,0.03716550209603266,0.019580444561299176
3.727593720314938,0.037400760300281416,0.01897522705085606
5.428675439323859,0.0376113319167628,0.01850061947662645
7.9060432109076855,0.03786220457218859,0.018191095493132418
11.513953993264458,0.038200260946379246,0.018049711965876826
16.768329368110066,0.03865370920989485,0.018063481451875824
24.420530945486497,0.03924253278261128,0.018216318228010446
35.564803062231285,0.03999588522267964,0.018486696265355377
51.79474679231202,0.04096821340713259,0.018828548023170754
75.43120063354607,0.04224440379023605,0.019146788685222245
109.85411419875572,0.04392657164752932,0.019290282793017994
159.98587196060572,0.04610021180145137,0.019089638615742116
232.99518105153672,0.04878698742046274,0.018447199586505016
339.3221771895323,0.05190575794022194,0.0174330683816551
494.1713361323828,0.05527009376285896,0.01629854007967491
719.6856730011514,0.058632942770786144,0.015358565496571695
1048.1131341546852,0.06175672411474229,0.014813383828811866
1526.4179671752302,0.06447210109059218,0.014659869339126023
2222.996482526191,0.06670247556517546,0.014758125287896762
3237.45754281764,0.06845464266800123,0.01495492460523943
4714.8663634573895,0.0697900410574965,0.01515318377260223
6866.488450042998,0.07079253348013484,0.015316422594879399
10000.0,0.07154345820473851,0.015444728640891883
