channel,total_contribution_kpi_mn,total_spend_mn,roi_kpi_per_mn_spend
tv_total_spends_mn_ad,235.62658484068575,784.9141213576922,0.3001940956714023
newspaper_spends_mn_ad,137.51522339785137,82.97033,1.657402391889382
google_display_spends_mn_ad,-28.797373471857725,0.5222,-55.14625329731468
youtube_spends_mn_ad,-423.63401708069426,68.5238,-6.182290198160264
fb_ig_spends_mn_ad,129.5566968795346,21.7568,5.954768021011114
whatsapp_spends_mn_ad,59.880192551901615,1.33,45.02270116684332
jio_spends_mn_ad,-41.316961290356744,6.659,-6.204679575064836
hotstar_spends_mn_ad,156.223627429653,7.652800000000001,20.413917445856807
ventes_avenue_spends_mn_ad,14.043251140935155,0.912,15.39830168962188
trade_promo_spends_mn_ad,1429.2307594141403,415.05070932,3.443508774519928
consumer_promo_spends_mn_ad,136.79575393684738,242.30332557097904,0.5645640794012757
